ID	Sample	Compound ID	CV	AVGNorm
1	WT	Decane	0.356464282	1
2	WT	Tetradecane	0.306147084	1
3	WT	13-Methyltetradecanal	0.398923287	1
4	WT	13-Methyltetradecanal	0.264343721	1
5	WT	Benzene, 1,3-bis(1,1-dimethylethyl)-	0.187798308	1
6	WT	Ethanol, 2-(2-ethoxyethoxy)-	0.183309643	1
7	WT	2-PROPANOL, 2-METHYL-	0.229847303	1
8	WT	1-Octen-3-ol	0.248011785	1
9	WT	2-Tridecen-1-ol, (E)-	0.254699247	1
10	WT	2-Tridecen-1-ol, (E)-	0.366503054	1
11	WT	2-Tridecen-1-ol, (E)-	0.248046273	1
12	WT	ACETALDEHYDE, HYDROXY-	0.281293729	1
13	WT	Propanal, 2-methyl-	0.184409974	1
14	WT	PROPANAL, 3-(METHYLTHIO)-	0.351222743	1
15	WT	Butanal	0.136509988	1
16	WT	2-BUTENAL, 2-METHYL-	0.301750465	1
17	WT	PENTANAL	0.369958918	0.85509942
18	WT	2-Pentenal, 2-methyl-	0.140476399	1
19	WT	Hexanal	0.22197094	1
20	WT	BENZALDEHYDE	0.425931158	1
21	WT	Benzeneacetaldehyde	0.400781538	1
22	WT	Benzaldehyde, 4-propyl-	0.265080064	1
23	WT	Acetone	0.046063787	1
24	WT	2-Propanone, 1,1-dichloro-	0.469009362	0.94046169
25	WT	2-BUTANONE	0.146857398	1
26	WT	2-PENTANONE	0.096387281	1
27	WT	2-HEPTANONE	0.367199764	1
28	WT	2-Heptanone, 6-methyl-	0.8779678	0.555884315
29	WT	PROPANOIC ACID	0.494962402	1
30	WT	HEXANOIC ACID	0.541359522	1
31	WT	Octanoic acid	0.468040376	1
32	WT	Methyl salicylate	0.234199243	1
33	WT	Furan, 2-pentyl-	0.252602261	1
34	WT	N-Ethylidenecyclohexaneamine, N-oxide-	0.339002197	1
35	WT	Analyte 68	0.160312201	1
36	WT	Analyte 80	0.13911865	1
37	WT	Analyte 88	0.144714499	1
38	WT	Analyte 147	0.271856565	1
39	cIDH	Decane	0.213401659	0.592980716
40	cIDH	Tetradecane	0.138230417	0.657388496
41	cIDH	13-Methyltetradecanal	0.700512231	0.388331847
